title,,genre,author,isbn,book_seamus_id,hide_ibooks,text,reviewer,slug,tags,reviewer ID,reviewer link,html text,oclc,entity_count,id
215 People's Alliance,,,,978-0-123456-47-3,1,,"A new grassroots progressive Philly electoral organization, rooted in local communities.",,,"501c4,Pennsylvania",,,,,1,281
Acting in Community Together in Organizing Northern Nevada (ActionN),,,,978-0-123456-47-4,1,,A PICO-affiliate based in Reno. Contributing to campaign to win a state minimum wage increase via ballot initiative in 2016.,,,"501c4,501c3,Nevada",,,,,2,524
Action NC,,,,978-0-123456-47-5,1,,"Community organization with a base in Black and Latino community in Charlotte, Raleigh, and Durham. They have significant experience running scaled voter engagement program and are one of few community organizations with large scale c4 capacity in North Carolina. Affiliated with Center for Popular Democracy.",,,"Racial Justice,Latino,501c4,501c3,North Carolina",,,,,2,278
Action Now,,,,978-0-123456-47-6,1,,Major community organization focused in 4-5 African-american Wards on the South and West sides (Englewood and North Lawndale). CPD affiliate moving major voter registration & GOTV in Chicago.,,,"Racial Justice,501c4,501c3,Illinois",,,,,2,296
Action United,,,,978-0-123456-47-7,1,,"Solid organizations in Philadelphia and Pittsburgh, affiliated with Center for Popular Democracy.",,,"501c4,501c3,Pennsylvania",,,,,2,282
Arkansas Public Policy Panel,,,,978-0-123456-47-8,1,,"Long-standing organization with organizing capacity and a focus on African-American communities in rural southern Arkansas. Ramping up their voter engagement work, including c4.",,,"Racial Justice,501c4,501c3,Arkansas",,,,,2,334
Arkansas United Community Coalition,,,,978-0-123456-47-9,1,,"A visionary Immigrant Rights group that has dramatically increased voter participation of immigrant communities in Arkansas, and works closely with the spectrum allied groups to build a broader strategy in Arkansas. Partners closely with Center for Community Change.",,,"Immigrant Rights,501c3,Arkansas",,,,,1,333
Battleground Texas,,,,978-0-123456-47-10,1,,"Large statewide voter engagement operation, with the scale and style of the Obama campaign or OFA.",,,"Statewide,501c4,Texas",,,,,1,318
Beloved Community Center,,,,978-0-123456-47-11,1,,A respected vibrant long-term community org in Greensboro that does vote work.,,,"501c3,North Carolina",,,,,1,279
Blueprint NC,,,,978-0-123456-47-12,1,,"State Voices affiliate with strong leadership, works closely with all the key grassroots groups that do vote work in NC, including re-granting to smaller community-based groups and providing technical support.",,,"501c3,North Carolina",,,,,1,274
